"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"15.07.2021","5,196","5,156","5,210","5,108","7,79M","0,50%"
"14.07.2021","5,170","5,142","5,246","5,127","10,06M","0,43%"
"13.07.2021","5,148","5,260","5,285","5,118","12,50M","-2,09%"
"12.07.2021","5,258","5,243","5,268","5,126","13,77M","0,59%"
"09.07.2021","5,227","5,080","5,227","5,045","12,22M","3,53%"
"08.07.2021","5,049","5,150","5,159","5,018","20,12M","-3,28%"
"07.07.2021","5,220","5,290","5,306","5,162","16,90M","-1,21%"
"06.07.2021","5,284","5,406","5,438","5,276","14,09M","-2,67%"
"05.07.2021","5,429","5,295","5,439","5,295","7,49M","2,53%"
"02.07.2021","5,295","5,400","5,424","5,286","9,68M","-2,11%"
"01.07.2021","5,409","5,290","5,409","5,284","12,90M","3,46%"
"30.06.2021","5,228","5,255","5,287","5,188","21,85M","-1,21%"
"29.06.2021","5,292","5,277","5,338","5,264","8,64M","0,28%"
"28.06.2021","5,277","5,426","5,440","5,277","14,76M","-2,84%"
"25.06.2021","5,431","5,370","5,437","5,329","15,90M","1,89%"
"24.06.2021","5,330","5,289","5,393","5,283","20,44M","1,14%"
"23.06.2021","5,270","5,300","5,340","5,270","12,68M","-0,15%"
"22.06.2021","5,278","5,298","5,298","5,188","13,83M","0,76%"
"21.06.2021","5,238","5,120","5,265","5,090","23,52M","0,31%"
"18.06.2021","5,222","5,320","5,381","5,183","51,82M","-3,24%"
"17.06.2021","5,397","5,360","5,548","5,359","25,14M","1,66%"
"16.06.2021","5,309","5,413","5,440","5,286","15,06M","-1,14%"
"15.06.2021","5,370","5,345","5,378","5,292","22,56M","0,51%"
"14.06.2021","5,343","5,258","5,343","5,258","17,29M","1,85%"
"11.06.2021","5,246","5,250","5,276","5,224","8,09M","-0,51%"
"10.06.2021","5,273","5,271","5,351","5,240","15,08M","0,15%"
"09.06.2021","5,265","5,291","5,301","5,196","10,98M","-0,90%"
"08.06.2021","5,313","5,350","5,398","5,260","14,75M","-0,28%"
"07.06.2021","5,328","5,219","5,341","5,210","13,03M","2,13%"
"04.06.2021","5,217","5,290","5,293","5,210","28,10M","-1,31%"
"03.06.2021","5,286","5,228","5,295","5,222","17,18M","0,70%"
"02.06.2021","5,249","5,217","5,280","5,168","31,79M","0,44%"
"01.06.2021","5,226","5,153","5,247","5,141","15,34M","1,75%"
"31.05.2021","5,136","5,151","5,172","5,131","5,86M","0,20%"
"28.05.2021","5,126","5,200","5,200","5,090","17,13M","-0,33%"
"27.05.2021","5,143","5,080","5,197","5,073","28,76M","1,16%"
"26.05.2021","5,084","5,095","5,126","5,011","20,12M","-0,51%"
